Vin,Vout,frequency,Av
1,0.045,0.1,-26.9357497244931
1,0.063,5.0,-24.0131890109284
1,0.072,6.0,-22.8533500713746
1,0.082,7.0,-21.7237229523257
1,0.098,8.0,-20.1754784861501
1,0.104,9.0,-19.6593332140244
1,0.117,10.0,-18.6362827650768
1,0.127,11.0,-17.9239255808809
1,0.13,12.0,-17.7211329538633
1,0.133,13.0,-17.5229671806583
1,0.145,14.0,-16.7726399553005
1,0.166,15.0,-15.5978382391989
1,0.187,16.0,-14.56316786927
1,0.187,17.0,-14.56316786927
1,0.187,18.0,-14.56316786927
1,0.187,19.0,-14.56316786927
1,0.192,20.0,-14.333975425929
1,0.182,21.0,-14.7985722402985
1,0.182,22.0,-14.7985722402985
1,0.182,23.0,-14.7985722402985
1,0.179,24.0,-14.9429393804021
1,0.176,25.0,-15.089746643717
1,0.176,26.0,-15.089746643717
1,0.176,27.0,-15.089746643717
1,0.175,30.0,-15.1392390262741
1,0.175,35.0,-15.1392390262741
1,0.16,60.0,-15.9176003468815
1,0.159,80.0,-15.972057513591
1,0.152,150.0,-16.3631282411046
1,0.062,400.0,-24.1521662100349
1,0.045,550.0,-26.9357497244931
