Vin,Vout,Av,Freuency
1,0.019,-34.42492798094342,1
1,0.045,-26.935749724493125,2
1,0.113,-18.938431130331605,3
1,0.55,-5.192746210115122,4
1,0.835,-1.5662704903279587,5
1,0.92,-0.7242434530888942,8
1,0.994,-0.0522723120537338,10
1,1.07,0.5876755537041933,12
1,1.14,1.138097026729451,15
1,1.25,1.9382002601611283,20
1,1.31,2.3454259131152853,25
1,1.36,2.6707781674043507,30
1,1.4,2.92256071356476,40
1,1.43,3.1067207493012363,50
1,1.46,3.287057115688742,75
1,1.47,3.346346694963521,100
1,1.48,3.4052343078991476,150
1,1.48,3.4052343078991476,200
1,1.49,3.4637253682454805,300
1,1.49,3.4637253682454805,500
1,1.49,3.4637253682454805,1000
1,1.48,3.4052343078991476,2000
1,1.48,3.4052343078991476,3000
1,1.48,3.4052343078991476,5000
1,1.43,3.1067207493012363,10000
